"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","4","Circular            15728640         511 Windows PowerShell","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","15","Circular             1052672             Windows Networking Vpn Plugin Platform/Operationa…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","16","Circular             1052672             Windows Networking Vpn Plugin Platform/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","23","Circular             1052672           0 Microsoft-WindowsPhone-Connectivity-WiFiConnSvc-C…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","24","Circular             1052672             Microsoft-Windows-ZTraceMaps/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","25","Circular             1052672           0 Microsoft-Windows-WWAN-SVC-Events/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","26","Circular             1052672           0 Microsoft-Windows-WPD-MTPClassDriver/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","27","Circular             1052672           0 Microsoft-Windows-WPD-CompositeClassDriver/Operat…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","28","Circular             1052672           0 Microsoft-Windows-WPD-ClassInstaller/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","29","Circular             1052672           0 Microsoft-Windows-Workplace Join/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","30","Circular             1052672           0 Microsoft-Windows-WorkFolders/WHC","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","31","Circular             1052672           0 Microsoft-Windows-WorkFolders/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","32","Circular             1052672             Microsoft-Windows-Wordpad/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","33","Circular             1052672           0 Microsoft-Windows-WMPNSS-Service/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","34","Circular             1052672        1080 Microsoft-Windows-WMI-Activity/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","35","Circular             1052672             Microsoft-Windows-wmbclass/Trace","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","36","Circular             1052672         878 Microsoft-Windows-WLAN-AutoConfig/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","37","Circular             1052672           0 Microsoft-Windows-Wired-AutoConfig/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","38","Circular             1052672           0 Microsoft-Windows-Winsock-WS2HELP/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","39","Circular             1052672             Microsoft-Windows-Winsock-NameResolution/Operatio…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","40","Circular             1052672             Microsoft-Windows-Winsock-AFD/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","41","Circular             1052672          72 Microsoft-Windows-WinRM/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","42","Circular             1052672             Microsoft-Windows-WinNat/Oper","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","43","Circular             1052672        2583 Microsoft-Windows-Winlogon/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","44","Circular             1052672           0 Microsoft-Windows-WinINet/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","45","Circular             1052672           1 Microsoft-Windows-WinINet-Config/ProxyConfigChang…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","46","Circular             1052672             Microsoft-Windows-WinINet-Capture/Analytic","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","47","Circular             1052672           0 Microsoft-Windows-WinHttp/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","48","Circular             1052672             Microsoft-Windows-WinHTTP-NDF/Diagnostic","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","49","Circular             1052672         560 Microsoft-Windows-WindowsUpdateClient/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","50","Circular             1052672             Microsoft-Windows-WindowsUIImmersive/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","51","Circular             1052672         171 Microsoft-Windows-WindowsSystemAssessmentTool/Ope…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","52","Circular             1052672             Microsoft-Windows-WindowsColorSystem/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","53","Circular             1052672           0 Microsoft-Windows-WindowsBackup/ActionCenter","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","54","Circular             1052672             Microsoft-Windows-Windows Firewall With Advanced …","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","55","Circular             1052672           0 Microsoft-Windows-Windows Firewall With Advanced …","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","56","Circular             1052672        1056 Microsoft-Windows-Windows Firewall With Advanced …","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","57","Circular             1052672             Microsoft-Windows-Windows Firewall With Advanced …","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","58","Circular             1052672           0 Microsoft-Windows-Windows Firewall With Advanced …","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","59","Circular             1052672           0 Microsoft-Windows-Windows Defender/WHC","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","60","Circular            16777216         922 Microsoft-Windows-Windows Defender/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","61","Circular             1052672           0 Microsoft-Windows-Win32k/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","62","Circular             1052672           3 Microsoft-Windows-WFP/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","63","Circular             1052672           0 Microsoft-Windows-WerKernel/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","64","Circular             1052672         146 Microsoft-Windows-WER-PayloadHealth/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
